applicant_id,annual_income,monthly_expenses,credit_score,existing_loans,total_existing_loan_amount,outstanding_debt,bank_acc_history
4474,82234,4881,846,1,20344,596,3
4475,104340,789,848,0,21886,6873,8
4476,117131,553,746,2,46555,7320,9
4477,124461,2118,739,2,41394,9193,1
4478,138851,1756,825,0,36817,25407,7
4479,104136,2837,809,2,21246,4896,1
4480,99931,1965,720,1,31136,20354,1
4481,125512,3732,787,2,49219,9976,7
4482,138488,4458,708,1,10940,18981,9
4483,112991,1888,810,1,8049,5357,7
4484,138509,4127,735,0,27410,14349,9
4485,142842,2222,711,0,30117,24653,8
4486,31599,1727,362,2,33942,6518,5
4487,149569,2887,744,0,41636,10254,6
4488,51900,2888,782,2,23744,11007,5
4489,39859,4871,446,0,9627,9391,9
4490,60678,503,812,1,32009,1295,9
4491,75610,1523,796,0,29012,5869,1
4492,60144,4208,803,2,526,26142,5
4493,135808,1011,810,0,34793,10262,7
4494,27263,1835,481,2,34401,12418,4
4495,49789,4125,392,1,13059,19119,5
4496,87974,2535,835,2,40282,16206,4
4497,58905,2084,824,0,41397,18201,6
4498,50077,2973,822,0,1833,1411,3
4499,85059,2303,730,0,2936,5083,2
4500,134353,2836,744,1,24776,9714,1
4501,94562,2004,797,0,37405,13193,9
4502,100915,2408,814,1,33569,8022,7
4503,117932,838,782,0,34317,23113,2
4504,144262,4009,742,0,20412,12045,4
4505,67550,1300,783,2,25453,21121,8
4506,137659,2649,744,1,33419,16699,5
4507,62334,4777,438,2,14414,12868,2
4508,103423,2768,822,2,526,12505,4
4509,73448,765,709,2,44304,13454,1
4510,67114,2984,530,1,35018,4712,4
4511,51214,4967,813,1,6787,10536,2
4512,125347,1009,827,2,14251,12331,8
4513,132899,4736,826,2,8798,663,0
4514,79752,579,745,1,31770,14111,7
4515,134538,3321,790,2,48971,28135,8
4516,85587,3698,727,0,29963,7980,5
4517,57451,2450,797,0,37996,19620,7
4518,32522,3898,389,2,32309,16316,8
4519,86935,1955,828,0,21416,20067,6
4520,133385,4614,803,0,40414,13363,0
4521,42457,2928,405,0,45367,12262,3
4522,56799,4711,730,0,35786,18916,0
4523,20544,1949,352,1,27802,2528,1
4524,60681,1056,783,2,30483,6549,2
4525,51777,1352,527,1,803,8058,3
4526,134612,2016,741,2,46704,17847,3
4527,56752,4723,555,1,29871,4668,8
4528,23550,4847,352,1,9847,21493,8
4529,144210,3145,817,2,19716,14956,8
4530,120647,3314,740,2,43027,23922,4
4531,53317,4249,716,2,3215,17028,4
4532,134041,3449,799,1,7291,4811,9
4533,90524,2152,757,2,33231,23099,1
4534,116445,4789,812,0,13397,14076,2
4535,85337,4475,743,1,7545,9398,1
4536,129069,3178,720,1,45328,5600,1
4537,129881,510,738,1,6346,20817,5
4538,80550,1890,803,2,34992,22018,5
4539,81902,2971,828,0,46378,1265,1
4540,73334,3222,719,1,1792,22308,1
4541,69035,842,736,2,45485,29102,3
4542,141066,3937,838,0,33078,5868,3
4543,124999,1357,849,1,16263,22916,0
4544,149528,3778,767,2,48399,28530,6
4545,146413,4182,753,1,44559,17010,2
4546,31562,4493,587,0,37779,27828,4
4547,95761,3346,790,2,33780,4789,2
4548,95915,1635,821,1,37422,6947,5
4549,135769,3475,809,2,21132,9224,4
4550,27652,1012,515,2,33275,1298,7
4551,22725,4464,525,0,31257,6999,0
4552,104491,1483,751,2,29132,17018,4
4553,83641,518,768,1,15922,19191,6
4554,54662,2576,363,1,48337,26249,8
4555,123051,3415,806,0,6123,24152,7
4556,71044,3696,808,0,48146,28918,0
4557,116242,2551,825,1,18580,23431,6
4558,119701,4578,727,1,8284,21529,9
4559,45773,4664,480,0,572,7386,0
4560,32420,717,593,0,32690,13057,0
4561,28508,1739,367,0,49849,23185,3
4562,85056,4485,741,1,40924,10088,0
4563,59257,3008,586,1,6697,12108,6
4564,106307,3860,768,1,28931,26211,4
4565,76494,3800,837,2,46891,26625,4
4566,33970,2058,576,0,31330,21719,1
4567,111692,2559,810,0,29985,11879,3
4568,140223,2716,825,1,11962,7401,0
4569,70912,971,787,0,30478,17650,9
4570,52139,4164,353,0,44323,27728,7
4571,67473,2831,827,2,35055,28412,6
4572,77641,1353,728,0,7824,21312,9
4573,122222,3037,727,1,44767,13885,3
4574,34821,2472,510,0,21176,8713,2
4575,40898,2595,305,0,21441,16674,1
4576,101019,3742,801,2,3736,20753,6
4577,109346,4072,833,2,24618,7000,8
4578,111909,2521,741,2,23735,29320,5
4579,66005,3086,372,1,19193,8755,0
4580,119938,4843,789,0,34725,24458,2
4581,40205,4395,457,1,19093,28362,2
4582,85186,3749,839,1,49898,1721,7
4583,29569,2165,544,1,8008,3216,6
4584,52187,2320,586,1,17029,10471,2
4585,125563,4824,847,0,9259,9294,2
4586,55352,2448,406,1,31371,13049,0
4587,116937,2727,737,0,19281,23312,6
4588,102456,2033,810,2,40632,11235,2
4589,148127,781,790,0,49687,9251,5
4590,47403,1615,330,1,3908,4566,4
4591,51191,2056,730,1,32452,4938,7
4592,78356,1884,785,0,30602,3931,0
4593,75658,3874,780,2,20667,12841,1
4594,55649,3716,830,1,48618,4860,5
4595,133689,4725,795,2,30809,9619,9
4596,86688,3685,741,1,30054,25795,8
4597,52651,2926,509,2,36614,9269,4
4598,139778,1116,825,1,15595,25012,1
4599,122782,4268,837,0,39522,25977,0
4600,141872,2178,729,2,19018,4448,7
4601,129046,3167,806,2,31351,25133,6
4602,31851,2001,328,1,13016,14166,7
4603,20346,2057,465,2,2717,3912,2
4604,102856,3497,730,2,30297,17556,0
4605,40111,4515,547,1,39048,7160,1
4606,40445,3672,599,0,33989,22132,0
4607,69792,3297,405,2,29062,4044,7
4608,116652,1051,743,0,47904,3437,6
4609,45256,2207,424,0,27974,9244,9
4610,110742,879,745,2,2622,14773,7
4611,96688,2721,751,0,42308,3092,8
4612,81662,557,750,0,9752,9066,4
4613,106834,3613,736,1,42528,26674,9
4614,88632,3002,722,0,45410,27027,2
4615,60684,4371,778,2,2808,14235,5
4616,50862,3704,849,2,43158,7398,1
4617,26121,596,500,0,24311,12724,6
4618,30992,3280,526,2,43301,2118,2
4619,98152,1952,717,0,42953,832,8
4620,54057,2826,483,0,12243,1978,6
4621,43073,1740,344,1,1268,1821,6
4622,22290,1999,355,2,24025,12842,9
4623,130115,2676,787,2,46888,16268,7
4624,96084,2659,712,2,2932,29959,1
4625,64905,1602,596,2,3178,12244,8
4626,100092,4494,713,0,18925,28044,6
4627,133807,3585,844,2,43569,22208,3
4628,69282,3934,824,2,16548,23955,9
4629,125852,4121,729,0,31899,28817,6
4630,58197,4751,716,2,21723,14429,6
4631,120733,1005,786,1,40261,359,6
4632,95308,1316,834,0,39321,9703,5
4633,26340,4798,363,2,17055,2371,6
4634,34963,1709,471,1,28811,28990,0
4635,142425,2181,755,2,31521,23554,7
4636,38508,605,310,2,1456,17446,0
4637,140821,3980,752,1,2122,2479,3
4638,61841,1452,831,2,9243,26968,4
4639,64188,654,484,2,15913,27075,3
4640,61349,1078,426,2,46288,23835,8
4641,53405,2665,526,2,34920,11342,5
4642,56080,3245,701,1,22277,28384,1
4643,25492,4185,537,1,14458,19430,0
4644,127646,2478,845,0,34761,12586,2
4645,50899,2224,584,2,28780,12992,1
4646,27955,956,533,1,13582,9871,7
4647,56095,1722,731,2,1166,12006,4
4648,79801,1473,753,2,4224,18779,8
4649,67571,1468,462,1,12939,12270,4
4650,72986,3092,729,0,40748,2430,7
4651,50043,2170,774,2,1525,28933,8
4652,59831,2498,477,1,18620,17715,5
4653,76002,1916,786,1,17910,28427,5
4654,30704,4442,347,2,30582,29033,0
4655,89963,3908,726,0,33535,7960,5
4656,79529,3572,841,0,30066,20527,5
4657,56856,909,533,2,10739,21661,2
4658,139459,3043,779,2,18597,27775,8
4659,145884,3829,786,2,33883,18925,9
4660,66472,749,332,0,48623,28750,9
4661,63314,4283,706,1,27235,6342,6
4662,108208,3451,777,0,24125,25618,2
4663,72406,1987,831,2,26551,27321,3
4664,39602,4582,305,0,43678,28252,7
4665,68327,3725,339,1,27847,19317,4
4666,34125,4477,565,1,40592,13891,4
4667,52098,1610,743,1,42863,8053,8
4668,56585,1219,596,2,7739,1184,3
4669,87468,638,709,2,11522,17742,9
4670,144687,2383,745,1,32524,28653,2
4671,62522,4029,782,2,33134,29768,0
4672,51321,2323,370,2,42595,16883,8
4673,54542,1239,553,1,25425,2244,6
4674,84709,3371,806,0,36392,24874,0
4675,119765,4324,795,1,32596,1725,9
4676,60925,2151,564,2,39132,3052,4
4677,145163,4786,704,0,22790,5025,7
4678,57391,3954,534,2,35435,24451,8
4679,98971,3590,709,0,47648,13354,3
4680,63654,1278,789,0,43730,15807,7
4681,54479,2242,810,0,863,13526,6
4682,55623,4107,794,1,3260,11485,6
4683,50386,3147,323,0,7967,10578,7
4684,123119,876,771,2,19843,25372,9
4685,43459,1719,586,0,91,17827,5
4686,99992,552,817,1,40420,24230,8
4687,69853,3000,709,2,11859,23689,5
4688,101630,3046,775,2,40546,4921,0
4689,108849,645,701,1,437,21417,6
4690,24973,2804,522,2,2250,9064,1
4691,51353,4135,715,0,29788,1043,6
4692,72997,2658,843,0,39810,25037,5
4693,60464,4739,834,2,24417,20344,6
4694,96025,1793,730,1,483,3912,6
4695,76259,782,716,0,26341,15456,1
4696,30652,2745,525,1,31861,685,4
4697,119694,3515,844,0,13652,20435,9
4698,142594,4361,721,2,12602,14205,8
4699,74375,1663,841,1,24383,3997,1
4700,40858,2792,488,0,9979,22456,0
4701,130684,4371,848,0,26011,2284,4
4702,50693,3909,815,2,29541,21105,0
4703,111620,3250,829,1,33175,12094,0
4704,80893,2712,709,1,32957,3605,0
4705,133485,2702,765,2,10147,22855,8
4706,117568,4365,756,1,10333,174,6
4707,40082,4579,362,0,46356,12626,8
4708,126773,4537,733,0,38682,25867,2
4709,24478,788,536,1,49146,21802,5
4710,58053,4413,718,1,16530,9765,2
4711,128760,1448,814,1,44013,10044,7
4712,103118,4005,790,1,25285,27155,4
4713,128581,1333,787,1,45632,1974,0
4714,36345,3887,446,1,10260,23265,6
4715,94163,4466,729,1,49408,27692,5
4716,106433,3070,767,1,10635,836,9
4717,54586,4097,828,1,46368,1959,0
4718,63267,3542,572,1,12855,20477,4
4719,68395,1768,734,1,37629,26436,2
4720,42514,2874,566,1,22694,28604,9
4721,94674,2383,741,1,7574,9880,9
4722,144382,719,751,0,4345,4644,8
4723,54831,2726,703,2,16553,11673,8
4724,53274,784,797,1,8497,4897,3
4725,81226,1335,702,2,32165,19317,4
4726,77333,2132,817,1,46775,14779,6
4727,64157,3198,558,2,5988,14966,6
4728,52489,2923,589,1,15819,24217,3
4729,41902,4277,425,2,48273,15653,7
4730,52899,4376,768,1,19531,968,9
4731,141397,2887,702,1,26087,12393,3
4732,141081,1084,785,0,17727,29610,9
4733,24994,3748,336,0,1087,22890,3
4734,64110,2661,477,0,15077,20277,4
4735,143644,3865,718,1,16158,12436,1
4736,143882,1923,779,0,15141,9334,6
4737,130662,850,711,0,43517,7782,7
4738,111274,513,723,1,39053,17041,5
4739,90145,1615,714,1,26054,8917,2
4740,147659,3878,781,1,22594,29520,3
4741,61262,4406,482,1,1208,911,2
4742,88681,3880,744,1,49321,20660,6
4743,98249,4669,835,0,47862,19126,5
4744,45309,3575,430,2,45082,27863,6
4745,77109,3534,750,0,35034,22085,2
4746,102199,2217,717,1,7822,20237,2
4747,69424,4959,720,0,28269,7764,8
4748,65878,4654,712,2,32159,29305,1
4749,59927,3969,831,1,27607,18477,9
4750,49582,4573,417,1,12013,19013,0
4751,123568,1842,764,2,28419,4424,7
4752,98995,1737,728,2,43886,12335,2
4753,82317,1428,795,2,40574,13344,9
4754,129687,3517,768,0,29355,13209,9
4755,29573,4940,419,1,40909,5367,1
4756,37597,2928,466,0,29748,6510,6
4757,115788,1245,714,1,10459,24488,0
4758,32667,3747,457,2,456,4128,0
4759,103478,2248,769,2,20015,8610,2
4760,34084,3614,425,2,3940,17849,8
4761,107051,1433,810,2,39114,28188,1
4762,25684,4553,484,0,20109,1821,1
4763,46663,2498,573,2,19631,5527,5
4764,137339,562,752,1,7014,2826,7
4765,83149,4213,831,2,45487,29812,2
4766,36059,3184,444,0,36806,1373,2
4767,21068,3189,360,1,42461,13235,8
4768,122272,3390,706,1,25832,8052,4
4769,48666,4770,393,2,39228,11920,7
4770,118432,4811,801,2,1310,21047,7
4771,116557,3672,820,0,15673,28522,4
4772,141655,4991,757,1,24186,26270,6
4773,126843,4056,804,2,16669,23362,8
4774,59309,4729,490,2,49759,3104,1
4775,92445,2227,702,0,14828,27265,7
4776,62940,4270,336,2,35627,12100,0
4777,52235,4366,753,0,46592,924,7
4778,105296,969,773,2,16724,853,7
4779,78740,3170,733,2,19937,7052,7
4780,80835,4517,758,1,47548,11214,5
4781,131259,1347,821,2,4157,12356,6
4782,67169,1343,806,0,33377,29194,8
4783,97380,2696,705,0,5642,13654,8
4784,52270,3896,706,2,18560,5371,6
4785,55726,2402,710,0,45420,10963,7
4786,89663,4354,848,1,14517,14511,8
4787,31334,2901,412,0,2247,26445,9
4788,20995,4554,433,2,16782,27832,8
4789,139763,2115,724,2,13623,10178,3
4790,121114,3843,774,1,32904,4570,2
4791,69745,1455,763,2,42636,17552,5
4792,68227,2755,302,1,25275,1565,7
4793,54333,3347,724,0,44447,10486,5
4794,141386,3903,791,2,32365,13083,9
4795,113448,4748,733,0,183,310,0
4796,110510,4297,721,1,30129,19540,0
4797,144100,663,749,1,38467,16641,7
4798,24572,978,318,2,36989,23636,3
4799,68047,1902,794,0,32268,28433,1
4800,148028,932,766,1,39394,28002,3
4801,140761,1124,813,2,12094,17829,5
4802,111431,1185,715,2,11128,26140,5
4803,21140,1013,583,1,35775,15265,7
4804,59759,2497,765,2,24140,695,9
4805,65757,908,595,2,33865,3541,1
4806,89815,3551,816,1,4691,23160,6
4807,66601,3892,734,0,43103,28721,9
4808,68702,2940,364,1,17878,13258,0
4809,142976,2238,780,0,45531,4527,4
4810,31120,2059,462,2,3062,16641,8
4811,67094,4905,731,1,48018,28770,0
4812,48762,4717,451,0,24355,18691,0
4813,116020,4946,758,1,43298,5176,4
4814,58176,1012,820,1,24315,11890,6
4815,47812,995,480,1,24631,24522,4
4816,49649,4169,544,1,24265,10852,8
4817,57645,4021,328,1,9690,23308,1
4818,30611,934,443,0,30745,16079,4
4819,26301,4169,427,2,7304,23088,6
4820,101692,2454,736,2,4667,27892,8
4821,145264,1324,836,0,23810,15209,0
4822,143116,4467,842,1,27567,250,9
4823,141856,4445,809,2,46364,22001,5
4824,51768,1708,845,1,36785,18445,2
4825,59312,2243,846,2,23731,1554,7
4826,83773,4959,714,2,6999,14800,4
4827,60911,4230,776,1,37687,77,5
4828,55147,2814,823,1,40204,19019,4
4829,127542,3343,790,2,13695,25908,3
4830,76557,3924,718,2,3671,23782,7
4831,38036,3341,555,0,36336,13161,6
4832,50916,2225,353,0,24054,4657,3
4833,89318,3398,720,0,2133,14154,3
4834,147766,3891,843,2,49813,24063,6
4835,103985,2940,771,2,27528,17710,7
4836,100130,1864,700,1,30635,21857,9
4837,93884,1376,709,0,20032,12116,5
4838,139158,4955,715,0,15849,9589,3
4839,71119,1177,828,2,29750,12384,9
4840,71109,3295,753,2,978,10001,3
4841,63341,2975,501,0,38039,24524,5
4842,22445,3689,348,0,32138,26454,2
4843,119260,3310,847,0,10752,28425,5
4844,115471,4134,807,2,1451,16487,9
4845,107604,3426,847,0,27416,10474,1
4846,107943,2003,817,2,36865,22679,2
4847,23756,4249,552,2,18312,17652,4
4848,113622,777,838,0,20721,9643,6
4849,51987,4229,473,1,46273,25710,0
4850,76594,2482,721,1,31009,4132,7
4851,69119,880,509,1,28201,25552,2
4852,118369,4873,804,0,49778,1006,3
4853,31028,4382,500,2,43732,6809,7
4854,59681,3473,841,0,38069,25338,1
4855,93712,3202,774,1,4877,4919,3
4856,92437,547,719,1,32535,27735,4
4857,96384,524,800,1,37743,10013,2
4858,48519,2113,451,2,24978,25070,6
4859,65065,1732,319,2,12441,19350,1
4860,69743,4877,552,2,32997,18754,6
4861,129394,2668,786,0,9773,7348,8
4862,43595,2862,457,0,6738,566,8
4863,91460,4562,722,0,41150,24588,8
4864,56129,1367,838,2,10339,3754,9
4865,62052,1790,780,2,47744,16172,9
4866,86668,4051,803,1,29592,7013,7
4867,100520,1188,792,1,24035,504,4
4868,126979,1564,798,1,23364,1154,1
4869,134132,630,734,0,5889,28055,0
4870,43978,1809,540,2,36115,12842,0
4871,83350,1545,830,1,6984,19440,5
4872,97577,1269,835,0,18830,10278,8
4873,123102,4084,721,0,30680,7520,1
4874,71741,4019,710,2,45040,17407,6
4875,140871,4239,754,0,36924,27062,3
4876,78247,2914,849,0,10325,21798,9
4877,77220,3021,822,1,23189,8844,8
4878,63994,4453,714,2,26121,26397,2
4879,105296,3442,849,1,485,4641,1
4880,23103,3457,432,0,5055,11271,6
4881,105704,3211,826,0,640,6616,3
4882,127065,1933,819,1,29028,284,9
4883,27011,892,530,1,19502,21422,7
4884,75574,3710,766,1,5014,21895,2
4885,118274,3836,793,2,41517,12523,0
4886,51365,702,425,0,13764,14006,2
4887,145121,4379,774,1,8018,19302,5
4888,83274,3117,782,0,4137,12086,9
4889,66730,924,730,0,40113,5948,5
4890,122952,4287,727,1,21799,13117,0
4891,80270,2880,780,0,5576,9971,7
4892,140963,3416,749,0,49271,7115,8
4893,145064,4496,797,0,18957,26931,4
4894,88649,1639,809,0,44388,9883,7
4895,128715,2134,809,1,46760,8584,7
4896,116541,1457,808,0,2244,20362,1
4897,75855,3841,846,1,6466,9266,9
4898,95188,2725,774,2,4467,7,2
4899,79741,1938,824,0,30202,14237,9
4900,36334,4549,332,0,30401,11360,7
4901,94715,3908,743,0,33137,28959,8
4902,143243,3297,758,0,7794,21285,9
4903,122705,3156,749,1,7068,18764,5
4904,76487,4664,805,0,45669,3721,0
4905,21115,4224,466,2,35866,10401,5
4906,64056,4227,847,0,6563,28749,3
4907,41482,4412,495,0,34534,17486,4
4908,54328,4827,845,0,8496,12218,9
4909,32158,3054,353,0,7308,826,4
4910,52357,4815,711,2,25490,2532,4
4911,34243,4299,456,0,40372,19323,0
4912,103641,1970,800,1,24420,7964,9
4913,94792,1129,819,0,32371,14552,7
4914,81928,4166,712,2,15762,2358,7
4915,88614,1922,844,0,40832,13949,8
4916,30128,4286,516,0,16416,663,8
4917,90789,2767,791,2,32305,18201,8
4918,112770,1259,826,2,20402,3127,9
4919,32291,2895,554,0,43300,12682,3
4920,85917,4952,849,0,41689,23918,1
4921,28482,556,398,2,40839,6649,5
4922,57063,4024,593,2,42971,29025,8
4923,141684,3804,822,2,5671,18336,3
4924,47832,1186,541,0,13426,6617,2
4925,116892,559,847,1,23413,5869,0
4926,94359,3727,811,0,43877,29813,6
4927,95102,4352,762,2,39870,16628,2
4928,145915,1727,783,0,5304,27699,4
4929,33823,4132,463,2,20555,27997,4
4930,21295,2473,500,2,44008,15044,4
4931,50017,2028,781,1,10065,18458,0
4932,123568,4150,749,1,36193,27905,7
4933,35573,1766,446,0,12924,10502,8
4934,99606,559,706,1,31499,6359,2
4935,138914,4531,705,1,30834,552,9
4936,113792,4097,824,0,14196,18724,9
4937,47795,3389,571,0,27751,4419,4
4938,90378,4230,753,0,27493,14303,4
4939,58526,531,350,2,17452,11577,5
4940,31289,4460,363,1,16504,1618,8
4941,131161,3699,769,2,13687,6724,6
4942,86106,1668,708,0,25189,3071,8
4943,60604,1423,574,1,31492,18413,9
4944,109505,3697,745,2,32026,10681,1
4945,45275,4725,386,0,31119,2474,3
4946,69520,3931,486,1,16635,25757,6
4947,71747,3377,816,1,37355,18339,2
4948,25682,1184,365,0,19152,17764,7
4949,48986,2791,492,2,46907,8977,7
4950,62047,3436,578,1,9979,24935,8
4951,75245,4703,782,0,48587,25947,4
4952,134816,2549,774,1,34231,6725,7
4953,124980,3880,745,2,38495,11846,3
4954,59718,2407,754,0,7285,24447,2
4955,147814,1065,746,1,36573,8845,5
4956,52737,1176,403,2,4039,20282,4
4957,73642,4599,712,0,30615,9954,8
4958,131854,1918,787,2,346,12305,8
4959,140020,2842,742,0,38654,21815,7
4960,52772,4205,378,1,47699,9950,0
4961,58593,3708,729,2,29798,12461,8
4962,59263,4986,719,2,12825,18693,2
4963,115968,3565,835,1,38093,3933,5
4964,60448,4371,347,1,9640,19455,0
4965,126153,3779,761,1,36862,17625,6
4966,135322,3950,812,0,33995,29435,3
4967,38360,2867,300,2,16905,2081,0
4968,57807,953,444,2,22095,3997,0
4969,51717,4539,402,0,7730,3800,1
4970,147200,3787,824,2,632,15790,0
4971,87410,1795,822,1,42360,23714,6
4972,21958,1862,377,1,35909,1674,6
4973,72658,4093,763,2,24013,9451,6
4974,31620,725,361,0,8418,20500,4
4975,70299,3792,737,1,10645,5363,8
4976,88835,4227,825,0,6374,9800,0
4977,119604,4075,712,0,17224,27782,0
4978,85094,3916,849,1,24819,18441,2
4979,57474,935,726,2,10261,2647,8
4980,127525,2114,779,0,3960,8846,4
4981,39619,3460,429,2,6738,22747,6
4982,94902,3286,814,1,37996,8068,9
4983,53304,4815,701,1,31599,10214,4
4984,52450,508,333,1,2871,26095,3
4985,143905,4442,768,2,6598,9189,1
4986,137750,1050,838,2,41449,5888,4
4987,26983,633,471,1,47066,10342,4
4988,140591,532,759,0,40086,10579,4
4989,25123,3209,522,2,1651,8958,1
4990,37858,2153,350,0,10696,24121,2
4991,34763,2484,333,2,15050,24072,6
4992,78420,2798,775,0,10146,20264,8
4993,131279,3298,724,1,9581,2765,3
4994,89813,4755,763,2,1683,12806,5
4995,55208,1426,816,2,25673,8922,3
4996,42195,534,557,1,27625,14233,3
4997,60686,3864,772,0,12234,29210,8
4998,117134,4757,729,0,26963,27797,2
4999,24714,718,439,2,24580,16644,0
5000,148037,3239,803,0,32378,25230,1
5001,62920,3413,847,2,11827,14599,0
5002,108910,2027,779,2,40781,29322,7
5003,35955,1110,415,2,38705,23411,1
5004,95682,651,710,1,33995,11291,4
5005,59815,3064,497,1,32546,24852,5
5006,69293,2311,812,2,38384,19302,4
5007,69872,4019,509,2,13963,21776,9
5008,24008,4036,532,1,10625,9177,1
5009,90297,3971,728,0,32780,2382,3
5010,135226,1364,839,2,41807,5784,2
5011,78848,3267,833,0,44713,11534,9
5012,43117,1873,300,0,49853,8650,7
5013,127160,1819,715,1,36590,11037,1
5014,69848,736,742,1,7937,23998,8
5015,74514,715,749,2,22653,28301,0
5016,127822,4354,793,0,13273,27851,8
5017,103523,951,751,2,36257,1844,1
5018,114491,4660,722,1,35041,8963,3
5019,142902,4013,743,2,49183,16052,5
5020,54956,985,555,0,16537,27110,9
5021,128590,3422,734,0,10312,18876,7
5022,79309,1977,830,1,25931,10289,9
5023,32256,1455,404,2,11637,26107,7
5024,54170,3139,469,1,46484,9726,6
5025,42026,4220,315,0,24067,5686,2
5026,122466,4790,739,0,36952,17116,8
5027,121999,3149,824,1,23250,8167,8
5028,57081,4360,746,0,31622,11597,6
5029,63367,743,301,2,34499,4891,2
5030,113250,2144,730,0,18057,22200,9
5031,91703,610,841,0,25592,12939,1
5032,117948,4583,807,2,12770,24773,6
5033,63165,4818,717,2,40249,23835,4
5034,127792,2453,755,2,10447,8332,2
5035,122755,4294,795,2,19485,11882,9
5036,113020,4504,708,2,6067,15100,7
5037,111494,803,736,0,38331,24147,1
5038,44715,3840,373,2,16769,26273,5
5039,66774,4091,333,1,14697,11003,0
5040,68158,4786,327,2,34876,9349,3
5041,41697,1125,581,1,8783,1864,0
5042,130565,1295,730,1,13536,8582,7
5043,106388,1560,804,0,19169,12643,2
5044,89311,3211,720,1,15613,23163,7
5045,84308,3672,782,2,25763,1120,7
5046,90887,4273,733,0,14037,24579,2
5047,57048,2920,762,0,49870,14660,4
5048,90744,2974,825,1,2741,15862,5
5049,121791,2836,764,2,25462,1916,9
5050,98814,2010,844,0,13640,29589,9
5051,134399,1101,752,0,16306,28230,7
5052,43536,3084,444,0,47804,28312,0
5053,106102,3246,816,1,26321,6951,9
5054,115694,2050,824,2,33386,27073,3
5055,145920,2985,702,1,18591,5508,5
5056,94984,1418,807,1,26621,26003,2
5057,89543,2085,766,1,19224,8116,5
5058,117126,1459,703,2,38738,26963,3
5059,71945,3816,750,0,8955,8599,4
5060,144651,1240,813,2,10037,8453,3
5061,40229,1365,560,0,8618,1787,8
5062,53819,2116,363,1,25457,27134,7
5063,90834,2747,773,1,31766,4503,8
5064,111653,1372,780,0,8195,6951,4
5065,52576,2881,430,1,17031,11786,9
5066,76525,2796,830,2,13575,11301,5
5067,141248,1094,730,0,15938,16482,1
5068,66116,4166,780,1,22924,21747,1
5069,64564,578,428,0,33492,29202,9
5070,116901,4708,803,1,20782,18619,5
5071,88890,2832,780,2,4293,26341,3
5072,47802,4439,554,2,37344,9751,4
5073,111798,4667,716,1,30141,6935,7
5074,50937,2503,815,0,3858,398,0
5075,48349,807,521,1,83,28752,5
5076,91091,4096,793,1,5386,20007,6
5077,123565,3492,810,0,14417,14744,5
5078,96478,2055,743,2,45799,16348,7
5079,147063,3438,750,2,47951,1255,6
5080,122837,547,849,1,44540,603,6
5081,134753,577,788,0,36609,9906,9
5082,108435,3124,774,1,35164,23033,8
5083,38272,4183,562,2,10240,8317,5
5084,66372,1809,774,0,24994,27263,1
5085,103879,2022,813,2,1490,1740,2
5086,60816,2891,832,0,1458,6275,6
5087,27492,964,429,2,13492,23079,5
5088,115287,2645,811,0,28626,10652,9
5089,138647,556,739,2,44740,8828,9
5090,73997,720,823,2,21324,22297,8
5091,84260,2598,793,0,33120,8435,6
5092,100786,1318,722,2,45915,27350,5
5093,62541,2826,305,0,16889,9172,8
5094,67337,3655,746,2,17921,1229,8
5095,52004,2697,804,2,3465,565,0
5096,82188,4923,755,1,23042,24549,6
5097,34507,1948,593,2,19344,22344,8
5098,78965,3119,771,1,9441,7190,4
5099,85288,835,795,2,15262,3942,0
5100,103145,2649,704,0,33424,2253,6
5101,71509,2070,708,2,33684,21029,5
5102,99706,3345,789,1,46928,4719,7
5103,125189,1796,709,1,10598,19045,8
5104,60698,575,826,2,40228,12732,9
5105,144647,4064,753,2,4585,16208,9
5106,140898,3961,840,0,31737,24796,0
5107,147725,2240,770,0,16638,18946,8
5108,51860,3809,714,2,16582,24433,6
5109,36110,3018,464,1,22133,11304,6
5110,45469,772,308,0,4147,8265,0
5111,35716,1670,443,0,21976,21711,7
5112,26733,1502,496,0,9668,1006,8
5113,134475,3713,778,2,13806,10630,6
5114,36980,1091,550,0,19588,27338,5
5115,104879,4785,839,1,34552,19410,0
5116,76895,4113,809,2,18648,20235,4
5117,83616,2293,822,1,45068,28248,2
5118,135453,788,794,2,12993,12588,0
5119,67669,2735,313,2,21738,26518,9
5120,63716,3978,746,2,13459,8537,9
5121,85879,2486,746,0,14414,7932,4
5122,26581,1541,457,2,30010,4266,6
5123,140885,4712,764,2,11621,732,3
5124,58758,2261,759,1,38990,28969,4
5125,29747,2864,599,1,22158,3781,7
5126,115613,2482,849,2,27770,21293,8
5127,130400,2813,749,1,48368,23781,1
5128,131537,1326,743,1,13052,21762,3
5129,127285,3075,747,0,27009,22672,4
5130,30269,3082,588,2,44765,5936,8
5131,122371,1956,835,1,27161,8743,1
5132,74598,4780,792,1,7459,26953,4
5133,80594,3394,702,2,45564,8063,5
5134,104039,1916,810,0,44883,15552,7
5135,36645,2110,540,2,27452,17293,4
5136,84450,1347,728,0,29039,13557,5
5137,119085,4713,733,2,5060,28242,8
5138,101883,3868,845,1,9512,20341,4
5139,103569,2362,700,0,33607,11800,0
5140,47645,2261,484,0,27231,13115,0
5141,105933,2441,705,1,11607,27645,6
5142,130460,3654,819,0,17525,1506,3
